"country","iso3n","iso3c","iso2c"
"US",840,"USA","US"
"Germany",276,"DEU","DE"
"UK",826,"GBR","GB"
"France",250,"FRA","FR"
"Canada",124,"CAN","CA"
"Italy",380,"ITA","IT"
"Australia",36,"AUS","AU"
"Spain",724,"ESP","ES"
"Iceland",352,"ISL","IS"
"Netherlands",528,"NLD","NL"
"Switzerland",756,"CHE","CH"
"Poland",616,"POL","PL"
"Sweden",752,"SWE","SE"
"Belgium",56,"BEL","BE"
"Norway",578,"NOR","NO"
"Israel",376,"ISR","IL"
"Ireland",372,"IRL","IE"
"Austria",40,"AUT","AT"
"Denmark",208,"DNK","DK"
"Finland",246,"FIN","FI"
"Czech Republic",203,"CZE","CZ"
"Portugal",620,"PRT","PT"
"Estonia",233,"EST","EE"
"New Zealand",554,"NZL","NZ"
"Luxembourg",442,"LUX","LU"
"Malta",470,"MLT","MT"
"Slovenia",705,"SVN","SI"
"Estonia",233,"EST","EE"
"Lithuania",440,"LTU","LT"
"Slovakia",703,"SVK","SK"
"Trinidad and Tobago",780,"TTO","TT"
"Bahamas",44,"BHS","BS"
"Hungary",348,"HUN","HU"
